x,y,amenity,classification,key_value,category
77.1943724,28.5677083,marketplace,activity,{'amenity': 'marketplace'},commercial
77.2185983,28.5557074,cafe,activity,{'amenity': 'cafe'},commercial
76.9811687,28.6147687,school,activity,{'amenity': 'school'},commercial
76.9774983,28.6150691,bus_station,activity,{'amenity': 'bus_station'},commercial
76.9828316,28.6098145,police,activity,{'amenity': 'police'},commercial
76.9794295,28.6111468,fuel,activity,{'amenity': 'fuel'},commercial
76.9796548,28.6126726,fuel,activity,{'amenity': 'fuel'},commercial
76.9805689,28.6141749,fuel,activity,{'amenity': 'fuel'},commercial
76.98443,28.6071611,post_office,activity,{'amenity': 'post_office'},commercial
76.9859284,28.6124471,,activity,{'shop': 'books'},commercial
76.9857567,28.6128521,,activity,{'shop': 'bakery'},commercial
77.0611255,28.634787,,residential,{'building': 'residential'},
76.9857968,28.6131958,restaurant,activity,{'amenity': 'restaurant'},commercial
76.9857832,28.613071,,activity,{'shop': 'books'},commercial
76.9843272,28.6178334,kindergarten,activity,{'amenity': 'kindergarten'},commercial
76.9837474,28.6182087,school,activity,"{'amenity': 'school', 'building': 'yes'}",commercial
76.9840237,28.6171539,pharmacy,activity,"{'amenity': 'pharmacy', 'building': 'yes'}",commercial
76.9838655,28.6154374,,activity,"{'shop': 'electronics', 'building': 'yes'}",commercial
76.9838306,28.6151925,,activity,"{'shop': 'furniture', 'building': 'yes'}",commercial
76.9861953,28.6126819,taxi,activity,{'amenity': 'taxi'},commercial
76.9851868,28.6140052,car_rental,activity,{'amenity': 'car_rental'},commercial
76.9902885,28.6126394,,activity,{'shop': 'supermarket'},commercial
76.9867433,28.6126106,police,activity,{'amenity': 'police'},commercial
76.9864563,28.6128108,,activity,{'shop': 'clothes'},commercial
76.9841313,28.6170493,,activity,{'shop': 'books'},commercial
76.9847451,28.6182852,,activity,{'shop': 'car_repair'},commercial
76.9838653,28.615043,,activity,{'shop': 'hairdresser'},commercial
76.9858019,28.6131192,pharmacy,activity,{'amenity': 'pharmacy'},commercial
76.9857858,28.6133994,pharmacy,activity,{'amenity': 'pharmacy'},commercial
76.9860084,28.6130415,,activity,{'building': 'office'},commercial
76.9864054,28.612799,atm,activity,{'amenity': 'atm'},commercial
76.9878833,28.6126342,atm,activity,{'amenity': 'atm'},commercial
76.985767,28.6129097,,activity,{'shop': 'clothes'},commercial
76.9860889,28.6125565,fast_food,activity,{'amenity': 'fast_food'},commercial
76.9856919,28.6136137,atm,activity,{'amenity': 'atm'},commercial
76.9856061,28.6136443,pharmacy,activity,{'amenity': 'pharmacy'},commercial
76.9858019,28.6132393,,activity,{'shop': 'gift'},commercial
76.9854827,28.6078918,pharmacy,activity,{'amenity': 'pharmacy'},commercial
76.9849623,28.6089326,atm,activity,{'amenity': 'atm'},commercial
76.9849892,28.6089373,bank,activity,{'amenity': 'bank'},commercial
76.9853191,28.6085817,,activity,{'shop': 'hairdresser'},commercial
76.9836189,28.6130313,marketplace,activity,{'amenity': 'marketplace'},commercial
